id gene_short_name num_cells_expressed q_value normalization time annotation hdaci_dex_estimate dex_estimate respond
ENSG00000172216.5 CEBPB 34 0.000136529361757241 Conventional 4 Dex 0 1.44668677270531 No
ENSG00000172216.5 CEBPB 34 0.00194805633032429 Hash 4 Dex 0 1.20155654320305 No
ENSG00000110721.11 CHKA 898 1.90806605843858e-07 Conventional 4 HDACi 0.296906786019224 1.17416238900884 Yes
ENSG00000110721.11 CHKA 896 5.04136640981839e-05 Hash 4 HDACi 0.255093478894059 1.04975800344301 Yes
ENSG00000110721.11 CHKA 121 4.33935670957834e-09 Conventional 24 Dex 0 1.17416238900884 No
ENSG00000110721.11 CHKA 121 2.5538940780043e-07 Hash 24 Dex 0 1.04975800344301 No
ENSG00000130779.19 CLIP1 157 0.00526857428885597 Hash 4 Dex 0 -0.555942607346264 No
ENSG00000130779.19 CLIP1 157 0.00526857428885597 Hash 24 Dex 0 -0.555942607346264 No
ENSG00000018236.14 CNTN1 874 4.64149707572272e-07 Conventional 24 HDACi -0.258122642870713 -0.66402564245549 Yes
ENSG00000018236.14 CNTN1 1880 0.000860825282357006 Hash 4 HDACi -0.138915022711217 -0.781454256765057 Yes
ENSG00000018236.14 CNTN1 882 0.00120585307423516 Hash 24 HDACi -0.230226196385864 -0.781454256765057 Yes
ENSG00000018236.14 CNTN1 418 4.2630960215767e-19 Conventional 4 Dex 0 -0.66402564245549 No
ENSG00000137449.15 CPEB2 51 0.0142073655257503 Conventional 4 Dex 0 -0.811744053597609 No
ENSG00000137449.15 CPEB2 51 0.0142073655257503 Conventional 24 Dex 0 -0.811744053597609 No
ENSG00000137449.15 CPEB2 51 1.1694847656578e-05 Hash 4 Dex 0 -0.994001322654851 No
ENSG00000137449.15 CPEB2 51 1.1694847656578e-05 Hash 24 Dex 0 -0.994001322654851 No
ENSG00000113742.12 CPEB4 1031 5.21183648780458e-10 Conventional 4 HDACi 0.292386849296925 0.919170318172884 Yes
ENSG00000113742.12 CPEB4 550 7.39563356762208e-07 Conventional 24 HDACi 0.33897306527828 0.919170318172884 Yes
ENSG00000113742.12 CPEB4 1027 7.07838261459145e-07 Hash 4 HDACi 0.25293197953467 0.78573561037764 Yes
ENSG00000113742.12 CPEB4 556 5.68533639308175e-08 Hash 24 HDACi 0.389830935027587 0.78573561037764 Yes
ENSG00000019186.9 CYP24A1 501 1.46192132303991e-40 Conventional 4 HDACi -1.06566237963634 -1.096880836914 Yes
ENSG00000019186.9 CYP24A1 553 1.0133760227429e-21 Conventional 24 HDACi -0.840391607631078 -1.096880836914 Yes
ENSG00000019186.9 CYP24A1 497 2.72267193061971e-41 Hash 4 HDACi -1.06176025789027 -1.16422207050192 Yes
ENSG00000019186.9 CYP24A1 558 1.16325135858074e-18 Hash 24 HDACi -0.846812061964805 -1.16422207050192 Yes
ENSG00000170456.15 DENND5B 171 0.00381343046435586 Conventional 4 Dex 0 -0.585367541545309 No
ENSG00000170456.15 DENND5B 171 0.00381343046435586 Conventional 24 Dex 0 -0.585367541545309 No
ENSG00000170456.15 DENND5B 171 5.99916046381918e-06 Hash 4 Dex 0 -0.705845763227204 No
ENSG00000170456.15 DENND5B 171 5.99916046381918e-06 Hash 24 Dex 0 -0.705845763227204 No
ENSG00000102780.16 DGKH 155 8.15388093381463e-05 Conventional 24 HDACi 0.512583409481725 0.774326634531184 Yes
ENSG00000102780.16 DGKH 157 7.75874011323598e-05 Hash 24 HDACi 0.497999430966377 0.688222039511045 Yes
ENSG00000102780.16 DGKH 94 0.000297200933073506 Conventional 4 Dex 0 0.774326634531184 No
ENSG00000102780.16 DGKH 94 0.00431816847002168 Hash 4 Dex 0 0.688222039511045 No
ENSG00000135905.18 DOCK10 141 0.00661514222306005 Hash 4 Dex 0 -0.658956256554165 No
ENSG00000135905.18 DOCK10 141 0.00661514222306005 Hash 24 Dex 0 -0.658956256554165 No
ENSG00000128512.20 DOCK4 141 2.16933066781624e-08 Conventional 4 Dex 0 1.04502937432224 No
ENSG00000128512.20 DOCK4 141 2.16933066781624e-08 Conventional 24 Dex 0 1.04502937432224 No
ENSG00000128512.20 DOCK4 141 1.80149455467834e-05 Hash 4 Dex 0 0.874061477761868 No
ENSG00000128512.20 DOCK4 141 1.80149455467834e-05 Hash 24 Dex 0 0.874061477761868 No
ENSG00000120129.5 DUSP1 443 7.45550140081004e-30 Conventional 4 HDACi 1.01504293074017 1.75794024611765 Yes
ENSG00000120129.5 DUSP1 386 1.74616593744858e-24 Conventional 24 HDACi 0.945795625326412 1.75794024611765 Yes
ENSG00000120129.5 DUSP1 441 1.15742177702075e-24 Hash 4 HDACi 0.914672955813401 1.58688231581033 Yes
ENSG00000120129.5 DUSP1 389 2.75553193342177e-29 Hash 24 HDACi 1.04785994456308 1.58688231581033 Yes
ENSG00000114346.13 ECT2 104 0.00248168563803222 Hash 4 Dex 0 -0.654998308225744 No
ENSG00000114346.13 ECT2 104 0.00248168563803222 Hash 24 Dex 0 -0.654998308225744 No
ENSG00000115504.14 EHBP1 1271 0.0166429666444415 Conventional 4 HDACi -0.138883097086659 -0.379450075620351 Yes
ENSG00000115504.14 EHBP1 1267 0.000959231729908741 Hash 4 HDACi -0.178686709348148 -0.5371546980395 Yes
ENSG00000115504.14 EHBP1 365 7.10448844297933e-05 Conventional 24 Dex 0 -0.379450075620351 No
ENSG00000115504.14 EHBP1 365 8.68623100123981e-10 Hash 24 Dex 0 -0.5371546980395 No
ENSG00000163435.15 ELF3 545 4.30700347055056e-12 Conventional 4 HDACi -0.414824591044368 -0.721253553043652 Yes
ENSG00000163435.15 ELF3 298 3.60172241323771e-06 Conventional 24 HDACi -0.464464600805202 -0.721253553043652 Yes
ENSG00000163435.15 ELF3 545 7.10322947217122e-15 Hash 4 HDACi -0.446900775570163 -0.754954285530411 Yes
ENSG00000163435.15 ELF3 299 7.86002244546849e-05 Hash 24 HDACi -0.405796421708318 -0.754954285530411 Yes
ENSG00000118985.15 ELL2 904 4.08396816303747e-20 Conventional 4 HDACi 0.510131392928004 0.773819202594515 Yes
ENSG00000118985.15 ELL2 333 3.85714439355785e-12 Conventional 24 HDACi 0.691146740672338 0.773819202594515 Yes
ENSG00000143924.18 EML4 1367 0.000387309376682354 Hash 4 HDACi -0.171618918102135 -0.464988094372854 Yes
ENSG00000143924.18 EML4 164 0.00441529929206809 Hash 24 Dex 0 -0.464988094372854 No
ENSG00000129595.12 EPB41L4A 365 0.000118009367291244 Conventional 4 HDACi 0.400878256707959 0.973162916735961 Yes
ENSG00000129595.12 EPB41L4A 201 3.07786634311515e-10 Conventional 24 HDACi 0.826942909105664 0.973162916735961 Yes
ENSG00000129595.12 EPB41L4A 364 0.00118451129172136 Hash 4 HDACi 0.347413294272081 0.780956769187476 Yes
ENSG00000129595.12 EPB41L4A 202 2.14068410215046e-09 Hash 24 HDACi 0.797493311769331 0.780956769187476 Yes
