id gene_short_name num_cells_expressed status term estimate std_err test_val p_value normalized_effect model_component q_value normalization
ENSG00000118985.15 ELL2 109 OK DexTRUE 0.773819202594515 0.160111086562032 4.83301449768571 1.34480989549807e-06 1.09786202127285 count 0.00681953098007071 Conventional
ENSG00000120129.5 DUSP1 103 OK DexTRUE 1.75794024611765 0.206124014292907 8.52855622935605 1.48185466549706e-17 2.48109485486167 count 7.6641523299508e-14 Conventional
ENSG00000122786.19 CALD1 208 OK DexTRUE 1.1437428577517 0.112935222937883 10.1274237390117 4.17504497764371e-24 1.63861475581753 count 2.16476082090826e-20 Conventional
ENSG00000124782.19 RREB1 79 OK DexTRUE 0.938977997495186 0.151957824293585 6.17920137946346 6.44266727338507e-10 1.33049326632099 count 3.30573257797388e-06 Conventional
ENSG00000124882.3 EREG 57 OK DexTRUE -0.986634441117383 0.203006634740441 -4.86010933770155 1.17320939666282e-06 -1.38546935629495 count 0.00595403768806381 Conventional
ENSG00000124942.13 AHNAK 262 OK DexTRUE 0.808698860314438 0.102255552723963 7.90860582894216 2.60287323168766e-15 1.16085241643926 count 1.34464431148985e-11 Conventional
ENSG00000125148.6 MT2A 68 OK DexTRUE 1.09345835886911 0.177992847032964 6.14327135666639 8.08390054776127e-10 1.54713998538293 count 4.14704098100153e-06 Conventional
ENSG00000125257.13 ABCC4 232 OK DexTRUE 0.737916146809653 0.111006064890439 6.64753000241892 2.98052245699312e-11 1.05869144315663 count 1.53377685636866e-07 Conventional
ENSG00000125968.8 ID1 122 OK DexTRUE 0.916345749695254 0.140714859520315 6.51207521948284 7.41195841493945e-11 1.30408760242385 count 3.81048782112037e-07 Conventional
ENSG00000126870.15 WDR60 46 OK DexTRUE 1.0358621418278 0.196118353498047 5.28182152945782 1.27905766607334e-07 1.45347745000729 count 0.000651296163564545 Conventional
ENSG00000128016.5 ZFP36 38 OK DexTRUE 1.43355742805039 0.228698111778419 6.26833958926316 3.6491827738672e-10 1.96458698653113 count 1.87385535438081e-06 Conventional
ENSG00000128512.20 DOCK4 141 OK DexTRUE 1.04502937432224 0.150798938288049 6.92995180328178 4.20984022475498e-12 1.4921037740623 count 2.16933066781624e-08 Conventional
ENSG00000128641.18 MYO1B 101 OK DexTRUE -0.542450412175673 0.118054181901733 -4.59492754460152 4.32899662737597e-06 -0.77321685229415 count 0.0219133809277772 Conventional
ENSG00000129595.12 EPB41L4A 142 OK DexTRUE 0.973162916735961 0.156796810776724 6.20652238980633 5.4169906340529e-10 1.3897049097565 count 2.78054129245935e-06 Conventional
ENSG00000130449.5 ZSWIM6 121 OK DexTRUE -0.642089569370258 0.1157151406134 -5.54888120920544 2.8750343176376e-08 -0.91647858281911 count 0.000146713001229047 Conventional
ENSG00000131016.16 AKAP12 99 OK DexTRUE 1.02912565917138 0.160078780458484 6.42886993656402 1.2855606304189e-10 1.46549674840012 count 6.60649607972273e-07 Conventional
ENSG00000131746.12 TNS4 85 OK DexTRUE 1.50166447911495 0.244970801112661 6.12997333679921 8.78938017535625e-10 2.12349286464917 count 4.50631521590515e-06 Conventional
ENSG00000133121.20 STARD13 44 OK DexTRUE 1.35502684152744 0.302031260737372 4.48637945032348 7.24436750792707e-06 1.86805652485868 count 0.0365985446500476 Conventional
ENSG00000135480.15 KRT7 406 OK DexTRUE 0.366978140889236 0.0688489048332815 5.33019576386694 9.81069554274314e-08 0.528237572350178 count 0.000499854937902763 Conventional
ENSG00000135525.18 MAP7 241 OK DexTRUE -0.65262770596137 0.102142316848809 -6.38939595356339 1.66542309543282e-10 -0.937224895748537 count 8.55694386433383e-07 Conventional
ENSG00000136802.11 LRRC8A 45 OK DexTRUE 1.0971545976269 0.206535874570094 5.31217445836292 1.08324823930478e-07 1.52746709502424 count 0.000551806653101855 Conventional
ENSG00000137449.15 CPEB2 51 OK DexTRUE -0.811744053597609 0.173276103122651 -4.68468553348657 2.8039008339748e-06 -1.1509515628934 count 0.0142073655257503 Conventional
ENSG00000137486.16 ARRB1 101 OK DexTRUE 1.27779342711315 0.1960991701629 6.51605728903233 7.21794173506448e-11 1.80771159172984 count 3.71146564017016e-07 Conventional
ENSG00000138696.10 BMPR1B 214 OK DexTRUE -0.452805659833468 0.101902594950822 -4.44351451552328 8.85011825475394e-06 -0.650114382598702 count 0.0446842470682526 Conventional
ENSG00000139132.14 FGD4 276 OK DexTRUE 1.95980294087521 0.109577970736095 17.8850085259852 1.54329577366817e-71 2.80882745834342 count 8.01742154420614e-68 Conventional
ENSG00000140526.17 ABHD2 195 OK DexTRUE 0.886488264640071 0.105290791364708 8.41942826290895 3.78326032541505e-17 1.26791238813554 count 1.9551889361745e-13 Conventional
ENSG00000140859.15 KIFC3 106 OK DexTRUE -0.866746098494615 0.161646730049633 -5.36197730834695 8.23158825686535e-08 -1.23381328028769 count 0.000419564053452427 Conventional
ENSG00000141449.14 GREB1L 37 OK DexTRUE 1.29234533774322 0.264200910285568 4.89152492452186 1.00057719899446e-06 1.74908135280082 count 0.00508193159369286 Conventional
ENSG00000141753.6 IGFBP4 426 OK DexTRUE 0.36590979862322 0.0711687494534912 5.14143920517167 2.72641876272594e-07 0.52716028084533 count 0.00138692922459869 Conventional
ENSG00000143384.12 MCL1 92 OK DexTRUE 0.839348989373113 0.17990428791871 4.66553076129222 3.07821439074352e-06 1.19007117643571 count 0.0155911558891159 Conventional
ENSG00000143797.11 MBOAT2 121 OK DexTRUE 1.43769145415957 0.17049097819326 8.43265414624978 3.37912251629197e-17 2.04324282064445 count 1.74666842867132e-13 Conventional
ENSG00000144366.15 GULP1 146 OK DexTRUE -0.621008084885165 0.10478570447866 -5.92645807913269 3.09538357706794e-09 -0.889158374628538 count 1.58452685310108e-05 Conventional
ENSG00000145362.17 ANK2 232 OK DexTRUE 0.509609911198987 0.104283276708349 4.88678460520783 1.02496121879131e-06 0.731047834315535 count 0.00520475306902227 Conventional
ENSG00000145685.13 LHFPL2 192 OK DexTRUE 0.802511257004372 0.117105394628691 6.85289742243657 7.23689812613302e-12 1.14752941343992 count 3.72627884514589e-08 Conventional
ENSG00000146376.10 ARHGAP18 82 OK DexTRUE -1.1594360462752 0.189783215159221 -6.10926548642605 1.00090710675517e-09 -1.641649092249 count 5.130649829227e-06 Conventional
ENSG00000146477.5 SLC22A3 212 OK DexTRUE 1.00319487466305 0.109398268017169 9.17011661012407 4.72507627293167e-20 1.4359377244685 count 2.44522697124214e-16 Conventional
ENSG00000146555.18 SDK1 37 OK DexTRUE 1.52391562165438 0.288548600597874 5.28131350662184 1.28260997567524e-07 2.08573260149375 count 0.000652976738616265 Conventional
ENSG00000147642.16 SYBU 129 OK DexTRUE 2.06494833303007 0.195409268259808 10.5672998595164 4.22483671757209e-26 2.9205948596888 count 2.19100032173289e-22 Conventional
ENSG00000148120.16 C9orf3 304 OK DexTRUE -0.486838713010877 0.078314025668432 -6.21649454048074 5.08384062544756e-10 -0.699225941477794 count 2.61004377710478e-06 Conventional
ENSG00000148175.12 STOM 171 OK DexTRUE 1.13682274753621 0.13399845024998 8.48384996554375 2.17862644020411e-17 1.62803669506881 count 1.12656773222955e-13 Conventional
ENSG00000149177.12 PTPRJ 282 OK DexTRUE 0.623971248205044 0.0903755012351444 6.90420788462969 5.04843253363796e-12 0.895968977109872 count 2.60044759807691e-08 Conventional
ENSG00000151012.13 SLC7A11 340 OK DexTRUE -0.616125088309242 0.0729241077481137 -8.44885329879376 2.94177837669297e-17 -0.886578426071045 count 1.52089942075027e-13 Conventional
ENSG00000151136.14 BTBD11 378 OK DexTRUE 1.26544588752975 0.0753882054637855 16.7857276843874 3.10401184116801e-63 1.82047136927912 count 1.61222375030266e-59 Conventional
ENSG00000151718.15 WWC2 72 OK DexTRUE 0.753846833888615 0.156523461297481 4.81619066969064 1.46324712077699e-06 1.0661207565973 count 0.00741866290233934 Conventional
ENSG00000154217.14 PITPNC1 76 OK DexTRUE 0.948331516054866 0.184742185119142 5.13326999701381 2.84750957026475e-07 1.32942096060135 count 0.00144824336743665 Conventional
ENSG00000154229.11 PRKCA 386 OK DexTRUE 0.356372152540545 0.0730189187862438 4.88054545951018 1.05792823188796e-06 0.512787626867155 count 0.00537110163329517 Conventional
ENSG00000156026.14 MCU 189 OK DexTRUE -0.961012569396515 0.103986509848654 -9.24170424409099 2.42601887818491e-20 -1.37677047224191 count 1.25570737134851e-16 Conventional
ENSG00000156535.13 CD109 155 OK DexTRUE 0.614198595580208 0.116099137056901 5.29029423603025 1.22119739870916e-07 0.877438368050653 count 0.000621955835162575 Conventional
ENSG00000156675.15 RAB11FIP1 77 OK DexTRUE 1.14974818409719 0.197773305175506 5.81346498242973 6.1192777319957e-09 1.63075764072431 count 3.1312344154622e-05 Conventional
ENSG00000157168.18 NRG1 232 OK DexTRUE -0.570441660257139 0.103677343567202 -5.50208599709527 3.75323791474051e-08 -0.819222394286773 count 0.000191452666030913 Conventional
ENSG00000157514.16 TSC22D3 38 OK DexTRUE 2.79176083712422 0.451576428047394 6.18225545827477 6.31921555273289e-10 3.567756497287 count 3.24302142166252e-06 Conventional
ENSG00000157600.11 TMEM164 142 OK DexTRUE 0.830856941718514 0.128921677773854 6.4446643579674 1.15856521998054e-10 1.18507088936238 count 5.95502523069998e-07 Conventional
ENSG00000157827.19 FMNL2 173 OK DexTRUE 0.525267468281822 0.114329181691568 4.59434293598692 4.34114955752834e-06 0.750754665920799 count 0.0219705579106509 Conventional
ENSG00000160712.12 IL6R 31 OK DexTRUE 1.26932690781469 0.271826363925117 4.66962398159571 3.01751543602166e-06 1.72109480690383 count 0.0152867331988857 Conventional
ENSG00000161011.19 SQSTM1 368 OK DexTRUE -0.37064747749007 0.0709039849364545 -5.2274562257996 1.71858068945128e-07 -0.533188057677561 count 0.000874585712861756 Conventional
ENSG00000162599.15 NFIA 313 OK DexTRUE 0.472557994765197 0.0818965484560243 5.7701820610785 7.91859337272333e-09 0.679213279020204 count 4.04956865081071e-05 Conventional
ENSG00000162889.10 MAPKAPK2 31 OK DexTRUE 1.01152024624193 0.22509856653776 4.49367697804618 7.00037911344099e-06 1.40305643197054 count 0.0353939167975576 Conventional
ENSG00000163110.14 PDLIM5 245 OK DexTRUE -0.396030241374795 0.0882554838388511 -4.48731596212108 7.21260693817815e-06 -0.568414191308157 count 0.0364453028586142 Conventional
ENSG00000163171.7 CDC42EP3 98 OK DexTRUE 1.27559281207686 0.176351254722589 7.23325056055566 4.71568192716906e-13 1.80742501617419 count 2.43376344261195e-09 Conventional
ENSG00000163435.15 ELF3 94 OK DexTRUE -0.721253553043652 0.132795137952622 -5.4313250030357 5.59371530645819e-08 -1.02122112104762 count 0.000285279480629368 Conventional
ENSG00000163659.12 TIPARP 45 OK DexTRUE 1.162599215607 0.195324253025742 5.95214981036573 2.64642956307079e-09 1.63257869630156 count 1.35497193629224e-05 Conventional
ENSG00000166689.15 PLEKHA7 204 OK DexTRUE 1.22535350394476 0.124261295906719 9.86110353190432 6.13711312181879e-23 1.75439488938949 count 3.18086573103868e-19 Conventional
ENSG00000167772.11 ANGPTL4 109 OK DexTRUE 2.84944556065479 0.2600401307847 10.9577146883301 6.10208315686917e-28 3.99205978595027 count 3.16637095009941e-24 Conventional
ENSG00000168234.12 TTC39C 52 OK DexTRUE 0.936278922178925 0.200952523313352 4.65920460585089 3.17433562708676e-06 1.30758778946842 count 0.0160748356155674 Conventional
ENSG00000168497.4 CAVIN2 53 OK DexTRUE 1.42105058538988 0.262187048041616 5.41998773777841 5.96031235016225e-08 1.96745860926497 count 0.000303856723611272 Conventional
ENSG00000169398.19 PTK2 355 OK DexTRUE 0.509906559106299 0.0770235851263182 6.62013535555448 3.58870112690574e-11 0.733211827351641 count 1.846386729793e-07 Conventional
ENSG00000170456.15 DENND5B 171 OK DexTRUE -0.585367541545309 0.118309305535557 -4.9477726109159 7.50675288259027e-07 -0.838732894394746 count 0.00381343046435586 Conventional
ENSG00000170485.16 NPAS2 171 OK DexTRUE -0.571255909023449 0.109860839619306 -5.19981379172951 1.99488276853341e-07 -0.817028235194256 count 0.0010149963526298 Conventional
ENSG00000170776.21 AKAP13 397 OK DexTRUE 0.994901517888902 0.0677200937170317 14.6913783381059 7.32093458922217e-49 1.43096915185692 count 3.80102923872415e-45 Conventional
ENSG00000170871.11 KIAA0232 122 OK DexTRUE 0.781998142981415 0.133678373419925 5.84984783234099 4.92022931306296e-09 1.11164801726448 count 2.51817336242562e-05 Conventional
ENSG00000170921.15 TANC2 229 OK DexTRUE 1.08584374608553 0.107650821221946 10.0867205076571 6.32473154846597e-24 1.5565902905406 count 3.27874083472476e-20 Conventional
ENSG00000171408.13 PDE7B 81 OK DexTRUE -1.03908039826203 0.1694006682185 -6.13386245278433 8.57706836709701e-10 -1.47590157818299 count 4.39832065864735e-06 Conventional
ENSG00000172159.15 FRMD3 201 OK DexTRUE 0.689375154141145 0.124545718866254 5.53511722776634 3.11020261059741e-08 0.987113821781774 count 0.00015868253719268 Conventional
ENSG00000172216.5 CEBPB 34 OK DexTRUE 1.44668677270531 0.260124575683856 5.56151516596245 2.67442432433382e-08 2.00406207618253 count 0.000136529361757241 Conventional
ENSG00000173482.16 PTPRM 392 OK DexTRUE 0.432542044521852 0.0712596467883879 6.06994370609674 1.27955094321779e-09 0.622623373200067 count 6.55641903304796e-06 Conventional
ENSG00000174106.2 LEMD3 61 OK DexTRUE -1.31574504478775 0.188388700384814 -6.98420362845611 2.86476304204355e-12 -1.8719540662854 count 1.47649887186925e-08 Conventional
ENSG00000175115.11 PACS1 244 OK DexTRUE 0.820656667432758 0.106574789284611 7.70028890454728 1.35758938607199e-14 1.17637834081702 count 7.01059158967576e-11 Conventional
ENSG00000176788.8 BASP1 101 OK DexTRUE -0.76950369490886 0.126682271232277 -6.07428085574773 1.24544586847015e-09 -1.0958248221859 count 6.38291007590952e-06 Conventional
ENSG00000177426.20 TGIF1 67 OK DexTRUE -0.682563172267605 0.140719726424199 -4.85051520218298 1.23141194798444e-06 -0.970075515833565 count 0.00624818422407305 Conventional
ENSG00000178726.6 THBD 86 OK DexTRUE 1.42077367381793 0.226494501348606 6.27288373606548 3.54421564703916e-10 2.01144642399764 count 1.82030915631931e-06 Conventional
ENSG00000181722.16 ZBTB20 461 OK DexTRUE 0.594975803231258 0.0642305461913078 9.26312850367409 1.98528220547706e-20 0.857383827717065 count 1.02778059777547e-16 Conventional
ENSG00000182247.9 UBE2E2 194 OK DexTRUE 0.95440509280774 0.108259164983282 8.81592882187043 1.1869687808971e-18 1.36636016039892 count 6.1413764723616e-15 Conventional
ENSG00000182718.16 ANXA2 453 OK DexTRUE 0.414489421359739 0.0580992349053558 7.13416316126962 9.73777665175467e-13 0.596880071664505 count 5.02177141930988e-09 Conventional
ENSG00000184588.17 PDE4B 228 OK DexTRUE -0.651504158441752 0.113844644904312 -5.7227475125365 1.0481497967262e-08 -0.935125531996064 count 5.35709361106761e-05 Conventional
ENSG00000185630.18 PBX1 160 OK DexTRUE -0.711669193192378 0.11730774789757 -6.06668532937645 1.30577032557338e-09 -1.0180435130562 count 6.68946137791243e-06 Conventional
ENSG00000196588.14 MKL1 223 OK DexTRUE 0.493810800900104 0.109998222154516 4.48926165557877 7.1470464987593e-06 0.707307805289357 count 0.0361211730047295 Conventional
ENSG00000198074.9 AKR1B10 501 OK DexTRUE -0.251812346280325 0.05199391585693 -4.84311177817859 1.27821332672123e-06 -0.363086395611835 count 0.00648309799313008 Conventional
ENSG00000198363.17 ASPH 469 OK DexTRUE -0.500113655726455 0.0520233048249173 -9.61326192962117 7.02863173637758e-22 -0.720775077098026 count 3.64083123944359e-18 Conventional
ENSG00000198431.15 TXNRD1 414 OK DexTRUE -0.559412945800832 0.064252634219709 -8.70645931632849 3.13514421855223e-18 -0.805537422205817 count 1.62181010425707e-14 Conventional
ENSG00000198964.13 SGMS1 157 OK DexTRUE 0.850968325028233 0.124828518105099 6.81709867221017 9.28974627372423e-12 1.21555203696708 count 4.78236138171323e-08 Conventional
ENSG00000204634.12 TBC1D8 380 OK DexTRUE 0.711436936450129 0.0730473788204914 9.73939035099989 2.04779178538801e-22 1.02340873291139 count 1.06096092400953e-18 Conventional
ENSG00000275342.4 PRAG1 71 OK DexTRUE -1.10377693488005 0.184838165058668 -5.97158565456279 2.34958646959944e-09 -1.55719732272346 count 1.20322323108187e-05 Conventional
ENSG00000001084.10 GCLC 191 OK DexTRUE -0.803476771373182 0.120568088604648 -6.66409147455131 2.66307566752001e-11 -1.15248289665618 count 1.37121766120605e-07 Hash ladder
ENSG00000002746.14 HECW1 172 OK DexTRUE 0.552794284891718 0.115378611802533 4.79113309005491 1.65842069353215e-06 0.790312474879565 count 0.00838497502649855 Hash ladder
ENSG00000008394.12 MGST1 418 OK DexTRUE -0.352292154747597 0.0656980785850851 -5.36229007506431 8.21734401191113e-08 -0.507192318132147 count 0.000418016289885919 Hash ladder
ENSG00000008513.14 ST3GAL1 54 OK DexTRUE 1.41229953861218 0.248990188574698 5.67210919714004 1.41050017623676e-08 1.96150247319473 count 7.20624540039361e-05 Hash ladder
ENSG00000018236.14 CNTN1 418 OK DexTRUE -0.781454256765057 0.0724628900702778 -10.7841994158274 4.08787185711382e-27 -1.12554217266527 count 2.12119670665636e-23 Hash ladder
ENSG00000019186.9 CYP24A1 280 OK DexTRUE -1.16422207050192 0.0986513317797494 -11.8013821962503 3.83952427305561e-32 -1.67396315721749 count 1.99309705014317e-28 Hash ladder
ENSG00000023839.10 ABCC2 284 OK DexTRUE -0.678507055224099 0.078670955102249 -8.62461952244307 6.43060882011316e-18 -0.97416984710876 count 3.32976924705459e-14 Hash ladder
