Cell hash_umis pval qval top_to_second_best_ratio top_oligo top_hash_umi
A03_B02_RT_38 468 0 0 Inf F7 440
A03_B02_RT_4 213 0 0 Inf D7 212
A03_B02_RT_43 64 1.63832516227162e-159 9.82995097362971e-159 Inf A8 64
A03_B02_RT_50 87 2.02595799685932e-213 1.62076639748746e-212 Inf C7 86
A03_B02_RT_66 113 0 0 Inf E7 109
A03_B02_RT_81 53 3.29069763551163e-94 1.31627905420465e-93 Inf B8 53
A03_B02_RT_85 36 3.4239901055776e-30 3.4239901055776e-30 Inf C8 33
A03_B02_RT_90 335 0 0 4.29708222811671 D7 275
A03_B03_RT_14 600 0 0 234.75 C7 597
A03_B03_RT_2 399 1.20552433224049e-287 9.64419465792388e-287 307.225 D7 397
A03_B03_RT_26 766 0 0 Inf C7 763
A03_B03_RT_42 32 1.5123028188913e-32 1.5123028188913e-32 Inf B8 27
A03_B03_RT_48 36 2.46571929183457e-57 4.93143858366913e-57 Inf E8 32
A03_B03_RT_51 125 9.57355845442359e-152 4.7867792272118e-151 1.49010654490107 A8 69
A03_B03_RT_54 42 5.79129929600753e-66 2.31651971840301e-65 Inf B8 42
A03_B03_RT_73 55 5.33270155669952e-165 3.19962093401971e-164 Inf A8 54
A03_B03_RT_74 198 0 0 Inf A7 196
A03_B03_RT_78 23 2.11582236216254e-62 6.34746708648761e-62 Inf A8 22
A03_B03_RT_87 77 1.88266254527355e-309 1.6943962907462e-308 Inf C8 77
A03_B03_RT_92 141 0 0 Inf B7 138
A03_B03_RT_93 229 2.83618262994113e-197 1.98532784095879e-196 1.22827975673328 A8 85
A03_C03_RT_10 802 0 0 1.5052509463915 C7 451
A03_C03_RT_17 211 2.4059263179791e-280 2.88711158157493e-279 Inf F7 208
A03_C03_RT_29 29 3.23448206068573e-25 1.29379282427429e-24 140 A8 24
A03_C03_RT_30 155 2.51996163153393e-290 3.2759501209941e-289 Inf D8 151
A03_C03_RT_36 27 2.4008094779561e-05 2.4008094779561e-05 24.9878048780488 C8 24
A03_C03_RT_37 37 1.45876466066142e-10 2.91752932132284e-10 Inf C8 36
A03_C03_RT_4 195 0 0 Inf B7 193
A03_C03_RT_43 560 0 0 1.97459391920033 F7 353
A03_C03_RT_48 20 3.50026500239727e-225 3.15023850215755e-224 Inf B8 18
A03_C03_RT_57 9 2.1054244590553e-73 1.26325467543318e-72 5.2421875 F8 5
A03_C03_RT_58 55 1.53419166056475e-17 4.60257498169425e-17 Inf C8 54
A03_C03_RT_64 170 0 0 Inf D8 169
A03_C03_RT_68 131 5.05316549808785e-259 5.05316549808785e-258 Inf D8 131
A03_C03_RT_7 139 7.32235585121512e-271 8.05459143633663e-270 Inf D8 138
A03_C03_RT_77 23 5.04683641901845e-112 3.53278549331291e-111 25.4601769911504 E8 22
A03_C03_RT_79 41 3.0575148808049e-49 1.52875744040245e-48 Inf A8 38
A03_C03_RT_84 90 0 0 Inf A7 88
A03_C03_RT_85 101 3.20508309870824e-141 2.5640664789666e-140 Inf A8 97
A04_B02_RT_10 6 0.420555374228524 1 7.6 F8 4
A04_B02_RT_18 155 8.66829571704462e-134 6.93463657363569e-133 Inf D7 151
A04_B02_RT_19 212 1.03836434510129e-91 5.19182172550645e-91 3.43393148450245 C7 161
A04_B02_RT_21 331 0 0 Inf F7 331
A04_B02_RT_27 391 4.70451171230231e-263 5.64541405476277e-262 Inf C7 389
A04_B02_RT_3 110 0 0 3.04251012145749 D8 82
A04_B02_RT_35 96 2.41962957512797e-128 1.69374070258958e-127 Inf E7 95
A04_B02_RT_38 80 5.24323312100346e-98 3.14593987260207e-97 65.4736842105263 E7 76
A04_B02_RT_40 108 0 0 Inf B7 106
A04_B02_RT_44 145 0 0 Inf B7 144
A04_B02_RT_49 50 0.0431675121852603 0.172670048741041 Inf C8 39
A04_B02_RT_51 457 0 0 Inf F7 453
A04_B02_RT_6 218 3.90071928019169e-202 4.29079120821086e-201 176.842105263158 D7 217
A04_B02_RT_65 138 0 0 Inf B7 137
A04_B02_RT_7 19 1 1 Inf C8 19
A04_B02_RT_76 216 3.32586054268586e-143 2.99327448841727e-142 Inf C7 215
A04_B02_RT_9 17 0.91964765876154 1 Inf A8 16
A04_B02_RT_91 143 3.48332472075914e-195 3.48332472075914e-194 Inf E7 142
A04_B03_RT_0 34 0 0 35.840490797546 B8 30
A04_B03_RT_1 529 0 0 Inf F7 524
A04_B03_RT_12 137 0 0 Inf D8 135
A04_B03_RT_13 611 0 0 6.5850723090362 D7 529
A04_B03_RT_29 416 2.53501707557443e-07 2.53501707557443e-07 Inf C7 411
A04_B03_RT_3 100 0 0 Inf B7 99
A04_B03_RT_35 12 0 0 14.4630872483221 F8 11
A04_B03_RT_43 34 8.61113381242759e-258 2.58334014372828e-257 Inf E8 33
A04_B03_RT_44 106 0 0 Inf B7 105
A04_B03_RT_5 43 0 0 329.24 C8 42
A04_B03_RT_53 636 8.00990875594121e-14 1.60198175118824e-13 Inf C7 632
A04_B03_RT_81 43 1.23614882050921e-261 4.94459528203683e-261 2.95537104307213 E8 30
A04_B03_RT_85 23 0 0 10.3477051460362 C8 19
A04_B03_RT_93 474 0 0 451.360406091371 E7 467
A04_C03_RT_14 276 4.00194116197335e-183 5.20252351056536e-182 2.37286112216474 C7 205
A04_C03_RT_16 32 2.4420033763158e-70 1.46520202578948e-69 Inf C8 31
A04_C03_RT_26 22 2.6871769412913e-45 8.06153082387391e-45 Inf C8 21
A04_C03_RT_29 471 0 0 1.37971478075436 E7 259
A04_C03_RT_31 102 1.00238322838747e-180 1.20285987406497e-179 Inf A7 100
A04_C03_RT_33 671 0 0 Inf C7 666
A04_C03_RT_34 34 3.82627043636629e-65 1.53050817454652e-64 Inf C8 31
