SampleName Cell top_oligo Axis top_hash_umi top_to_second_best_ratio
hashPyY A10_D07_RT_68 G11 1 307 Inf
hashPyY A10_D07_RT_69 H11 1 86 Inf
hashPyY A10_D07_RT_71 G11 1 423 Inf
hashPyY A10_D07_RT_75 H11 1 56 Inf
hashPyY A10_D07_RT_76 H11 1 29 Inf
hashPyY A10_D07_RT_80 G11 1 434 Inf
hashPyY A10_D07_RT_82 G11 1 238 Inf
hashPyY A10_D07_RT_87 G11 1 399 Inf
hashPyY A10_D07_RT_94 G11 1 123 Inf
hashPyY A10_H06_RT_4 G11 1 249 Inf
hashPyY A10_H06_RT_42 G11 1 546 Inf
hashPyY A10_H06_RT_47 G11 1 259 Inf
hashPyY A10_H06_RT_55 H11 1 16 Inf
hashPyY A10_H06_RT_6 H11 1 59 Inf
hashPyY A10_H06_RT_60 G11 1 158 Inf
hashPyY A10_H06_RT_64 G11 1 600 Inf
hashPyY A10_H06_RT_67 H11 1 69 Inf
hashPyY A10_H06_RT_68 G11 1 260 Inf
hashPyY A10_H06_RT_69 H11 1 90 Inf
hashPyY A10_H06_RT_72 H11 1 192 Inf
hashPyY A10_H06_RT_80 H11 1 36 Inf
hashPyY A10_H06_RT_92 G11 1 275 Inf
hashPyY A10_H06_RT_93 H11 1 92 Inf
hashPyY A11_D07_RT_25 G11 1 438 Inf
hashPyY A11_D07_RT_27 H11 1 91 Inf
hashPyY A11_D07_RT_3 G11 1 767 Inf
hashPyY A11_D07_RT_30 H11 1 119 Inf
hashPyY A11_D07_RT_32 G11 1 419 Inf
hashPyY A11_D07_RT_4 H11 1 170 Inf
hashPyY A11_D07_RT_49 G11 1 414 Inf
hashPyY A11_D07_RT_54 G11 1 669 Inf
hashPyY A11_D07_RT_72 G11 1 517 Inf
hashPyY A11_D07_RT_77 G11 1 383 Inf
hashPyY A11_D07_RT_80 H11 1 109 Inf
hashPyY A11_D07_RT_88 H11 1 102 Inf
hashPyY A11_D07_RT_89 G11 1 425 Inf
hashPyY A11_D07_RT_92 H11 1 139 Inf
hashPyY A11_D07_RT_95 H11 1 168 Inf
hashPyY A11_H06_RT_14 G11 1 375 Inf
